[all run data];conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict;conflict
;46;42;12;8;71;45;49;27;41;50;56;27;37;101;52;12;76;51;36;27;23;37;39;30;20;144;34;28;44;16;24;26;33;18;38;44;27;27;31;39
;47;42;12;8;73;45;49;27;43;50;56;28;37;101;52;12;77;53;38;27;23;37;39;30;23;147;34;28;44;16;24;26;33;19;39;44;27;27;31;41
;51;42;12;8;75;45;49;27;45;54;56;28;37;101;52;12;79;53;43;27;23;37;39;30;24;148;34;28;45;16;24;27;33;19;40;44;27;27;31;41
;53;42;12;8;77;45;49;27;47;57;57;28;37;102;54;12;79;53;47;27;23;37;39;30;24;149;34;28;45;16;25;27;33;19;40;44;27;27;31;41
;55;42;12;8;77;45;49;27;49;59;58;28;38;104;54;12;81;53;49;27;23;37;39;30;24;149;34;28;45;16;27;27;33;20;40;44;27;29;31;41
;55;42;12;8;77;45;49;27;50;61;58;28;38;106;54;12;84;53;51;27;23;37;39;30;26;149;34;28;45;16;27;27;33;20;41;44;27;29;31;41
;55;43;12;8;77;45;50;27;52;61;58;28;39;108;54;12;87;53;53;27;23;37;39;30;26;149;34;28;45;17;27;27;33;20;41;44;27;29;31;41
;55;44;12;8;77;47;50;27;52;61;59;28;39;110;54;12;89;53;55;27;23;37;41;30;26;149;34;29;45;17;27;27;33;20;41;45;28;29;31;41
;55;44;12;9;77;49;50;27;52;61;61;28;39;112;54;12;92;53;57;27;24;37;43;30;26;149;34;32;45;17;27;29;33;20;41;45;28;29;31;41
;55;44;12;9;77;51;50;30;52;61;65;28;39;112;54;12;95;53;59;28;24;37;43;30;28;149;35;34;45;17;27;29;33;21;42;46;28;29;31;41
;55;45;12;9;79;53;50;31;54;61;67;28;39;112;55;12;98;53;61;28;24;37;43;31;30;150;35;34;45;17;28;29;33;23;44;47;28;30;33;41
;55;45;12;9;79;54;50;31;54;61;69;28;40;113;57;12;101;53;63;28;25;37;43;32;32;150;36;35;45;17;28;29;34;23;44;47;28;32;33;41
;55;46;12;9;79;54;50;31;54;61;69;28;43;113;59;12;101;53;65;28;25;39;43;32;33;150;36;36;45;19;28;29;34;23;44;48;28;33;34;41
;55;46;12;9;79;54;50;31;54;61;69;28;44;113;61;12;101;53;67;28;25;41;43;32;33;150;36;37;45;19;28;29;34;23;44;48;29;33;35;41
;55;46;12;9;79;54;50;31;54;61;69;28;47;113;63;12;101;53;69;28;25;43;43;32;34;150;36;39;46;19;28;29;34;25;44;49;29;34;35;41
;55;46;12;9;79;54;50;31;54;61;69;28;47;113;64;12;101;53;71;28;25;45;43;34;34;151;36;41;48;19;28;29;34;25;44;49;29;36;37;42
;55;46;12;9;79;54;51;31;54;61;69;28;47;113;64;12;101;53;73;28;25;47;43;34;34;152;36;41;48;19;29;29;34;25;44;49;29;36;38;43
;55;46;12;9;79;54;53;31;54;62;69;28;48;113;64;14;101;53;75;28;25;49;43;34;34;152;37;41;48;19;30;29;34;25;44;49;29;36;38;43
;55;46;12;9;79;54;54;31;54;63;69;28;49;114;64;16;101;53;77;28;25;51;43;34;34;152;37;41;48;19;30;30;34;25;44;49;30;36;38;43
;55;46;12;11;81;54;54;31;54;64;69;28;49;114;64;18;101;53;79;29;25;53;45;34;35;152;37;41;48;19;30;30;35;26;44;49;30;36;38;43
